run_id,architecture,temporal_mode,target,session,seed,run_directory
height_pooled_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,height,,0,output/spatial-sequence/runs/height/temporal-cnn_bidirectional_seed0
velocity_pooled_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,velocity,,0,output/spatial-sequence/runs/velocity/temporal-cnn_bidirectional_seed0
position_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,position,caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed1
position_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,position,caret-mint-left-lavender-right-run01,1,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed1
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed1
position_lavender-only-horizontal-run01_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,position,lavender-only-horizontal-run01,1,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_bidirectional_seed1
position_mint-only-horizontal-run01_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,position,mint-only-horizontal-run01,1,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_bidirectional_seed1
distance_pooled_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,distance,,1,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed1
area_pooled_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,area,,1,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed1
height_pooled_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,height,,1,output/spatial-sequence/runs/height/temporal-cnn_bidirectional_seed1
velocity_pooled_temporal-cnn_bidirectional_seed1,temporal-cnn,bidirectional,velocity,,1,output/spatial-sequence/runs/velocity/temporal-cnn_bidirectional_seed1
position_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed2,temporal-cnn,bidirectional,position,caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed2
