source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
lavender,11,S13,4.792213439941406e-05,0.0014219880104064941,0.0027960538864135742,2,2,False
lavender,11,S14,-3.826618194580078e-05,0.0011653900146484375,0.0023690462112426758,2,2,False
lavender,11,S15,-0.0004673004150390625,-0.0003504753112792969,-0.00023365020751953125,2,2,False
lavender,11,S16,2.6106834411621094e-05,0.0004076957702636719,0.0007892847061157227,2,2,False
lavender,11,S17,0.0004801750183105469,0.004494190216064453,0.00850820541381836,2,2,False
lavender,11,S18,0.00025725364685058594,0.0018916130065917969,0.003525972366333008,2,2,False
lavender,11,S19,-2.7894973754882812e-05,7.95125961303711e-05,0.000186920166015625,2,2,False
lavender,11,S2,-0.0035724639892578125,0.019016385078430176,0.041605234146118164,2,2,False
lavender,11,S20,-4.088878631591797e-05,0.002245604991912842,0.0045320987701416016,2,2,False
lavender,11,S21,5.221366882324219e-05,0.0008218288421630859,0.0015914440155029297,2,2,False
lavender,11,S22,-8.285045623779297e-05,0.0007315278053283691,0.0015459060668945312,2,2,False
lavender,11,S23,0.00038909912109375,0.0003927946090698242,0.00039649009704589844,2,2,False
lavender,11,S24,-0.0007568597793579102,0.0011437535285949707,0.0030443668365478516,2,2,False
lavender,11,S25,-0.00010263919830322266,0.0012031793594360352,0.002508997917175293,2,2,False
lavender,11,S26,-0.001269221305847168,0.005060434341430664,0.011390089988708496,2,2,False
lavender,11,S27,-0.0024204254150390625,-0.0012891292572021484,-0.00015783309936523438,2,2,False
lavender,11,S28,0.0007299184799194336,0.0033892393112182617,0.00604856014251709,2,2,False
lavender,11,S29,0.00018846988677978516,0.004142880439758301,0.008097290992736816,2,2,False
lavender,11,S3,0.0001747608184814453,0.00021755695343017578,0.00026035308837890625,2,2,False
lavender,11,S30,8.761882781982422e-05,0.00034877657890319824,0.0006099343299865723,2,2,False
lavender,11,S31,-0.0029861927032470703,-0.0014922618865966797,1.6689300537109375e-06,2,2,False
lavender,11,S32,-4.798173904418945e-05,0.0007036924362182617,0.0014553666114807129,2,2,False
lavender,11,S4,-0.0003604888916015625,0.01003962755203247,0.020439743995666504,2,2,False
lavender,11,S5,0.0004996061325073242,0.0018398761749267578,0.0031801462173461914,2,2,False
lavender,11,S6,-1.3887882232666016e-05,-2.5480985641479492e-06,8.791685104370117e-06,2,2,False
lavender,11,S7,0.00013399124145507812,0.0013606548309326172,0.0025873184204101562,2,2,False
lavender,11,S8,0.0004203319549560547,0.0015763640403747559,0.002732396125793457,2,2,False
lavender,11,S9,-0.0006611347198486328,0.0025484561920166016,0.005758047103881836,2,2,False
mint,0,S1,-0.0001440942287445068,5.4376199841499884e-05,0.012695837020874007,4,26,True
mint,0,S10,-1.4783814549446103e-05,0.0,7.52607981363932e-05,4,26,True
mint,0,S11,-0.0012377262115478515,-9.357929229736324e-05,0.0003139302134513842,4,26,True
mint,0,S12,-0.00011548629173865684,0.0,0.0007268289724985757,4,26,True
mint,0,S13,-6.373112018291767e-05,0.0,0.000715812047322591,4,26,True
mint,0,S14,-6.78040087223053e-05,0.0,0.0005787809689839675,4,26,True
mint,0,S15,-0.0013717015584309895,-0.00015269574664887928,0.00011682510375976562,4,26,True
mint,0,S16,-3.0084923430756254e-05,0.0,0.00020824869473775223,4,26,True
mint,0,S17,-0.0002971058711409569,0.00011980533599853547,0.0022307038307189915,4,26,True
mint,0,S18,-0.0001515778712928295,6.171790036288183e-06,0.0009495119253794344,4,26,True
mint,0,S19,-0.0008831574366642876,4.639992347130445e-06,0.0011630944716624725,4,26,True
mint,0,S2,-0.0001266002655029297,0.0,0.012177801132202135,4,26,True
mint,0,S20,-9.284913539886475e-05,0.0,0.0011389851570129382,4,26,True
mint,0,S21,-5.7027890132023735e-05,0.0,0.0004146198431650794,4,26,True
mint,0,S22,-4.410285216111403e-05,3.649480640888215e-05,0.00036106506983439097,4,26,True
mint,0,S23,-0.0007902961224317551,9.802712334526909e-05,0.0012054443359374944,4,26,True
mint,0,S24,-0.0001779473744905912,0.00026304461061954504,0.0007911523183186847,4,26,True
mint,0,S25,-0.00013297417807200598,7.175398873282481e-05,0.0006765842437744137,4,26,True
mint,0,S26,-0.00030564344846285304,0.0003986610099673271,0.0029000441233317017,4,26,True
mint,0,S27,-0.0004994649153489333,0.0,0.00042116058456314194,4,26,True
mint,0,S28,-0.0002986667677760124,9.67865898495667e-07,0.001505593458811439,4,26,True
mint,0,S29,-0.00028210878372192383,0.0,0.0021224419275919578,4,26,True
mint,0,S3,-0.0005523534048171271,-7.15218484401702e-05,0.0007150998482337361,4,26,True
mint,0,S30,-1.2548210529180668e-05,2.2138868059431678e-07,0.00014774998029073048,4,26,True
mint,0,S31,-0.0011334300041198732,-0.00029745631747775625,0.00023434275672549234,4,26,True
mint,0,S32,-8.504873230343773e-05,7.28103332221508e-05,0.000341445207595825,4,26,True
mint,0,S4,-0.00042337179183959956,0.0001284396275877955,0.006727409362792969,4,26,True
mint,0,S5,-0.00016885537367600662,0.0,0.0008507768313089999,4,26,True
mint,0,S6,-7.77069505278047e-06,4.887164055884308e-08,2.1940185910179476e-06,4,26,True
mint,0,S7,-0.0009014379410516646,-1.8165225074404748e-07,0.00014253596325854268,4,26,True
mint,0,S8,-0.0001878799536289313,1.86550033676041e-05,0.0007270574569702141,4,26,True
mint,0,S9,-4.5791268348693814e-05,0.0,0.0016578237215677874,4,26,True
mint,1,S1,-0.003976600510733468,0.00012604395548502514,0.008241908890860418,3,8,True
mint,1,S10,-4.447357995169504e-05,7.077058156331379e-06,6.371736526489255e-05,3,8,True
mint,1,S11,-0.0015972137451171875,-0.0006678849458694459,0.00022367068699427996,3,8,True
mint,1,S12,-0.00045293569564819336,-0.00026701291402181,0.00039193885666983445,3,8,True
mint,1,S13,-0.0003915514264787947,-0.0002472559611002605,0.0003357529640197752,3,8,True
mint,1,S14,-0.0003096163272857666,-0.00019221305847167978,0.0003408491611480711,3,8,True
mint,1,S15,-0.001721307635307312,-0.001144800867353167,0.00015393892923990795,3,8,True
mint,1,S16,-0.00011626311710902625,-7.14679559071859e-05,8.426819528852183e-05,3,8,True
mint,1,S17,-0.0010953034673418318,-0.0007587075233459475,0.0008909446852547776,3,8,True
mint,1,S18,-0.0008475370705127717,-0.000541989008585612,0.00048248256955827804,3,8,True
mint,1,S19,-0.0020542144775390625,-0.001056909561157227,-0.00020916121346609948,3,8,True
mint,1,S2,-0.0038352523531232563,-7.04924265543627e-05,0.007338506834847583,3,8,True
mint,1,S20,-0.0005733455930437361,-0.0004152178764343263,0.0007118242127554754,3,8,True
mint,1,S21,-0.00031039118766784673,-0.0002031544844309489,0.0002378438200269418,3,8,True
mint,1,S22,-0.00015034420149666924,-7.57217407226563e-05,0.000298776796885899,3,8,True
mint,1,S23,-0.00043543974558512367,-0.00017058849334716808,0.0006775856018066399,3,8,True
mint,1,S24,-9.814898173014323e-05,3.7543475627899156e-05,0.0009173154830932613,3,8,True
mint,1,S25,-0.00016355514526367188,-0.0001180052757263184,0.0006495543888636994,3,8,True
mint,1,S26,-0.0010707229375839233,-0.0008804480234781901,0.0028713941574096584,3,8,True
mint,1,S27,-0.00047246047428676076,-0.00014591217041015625,4.39541680472234e-05,3,8,True
mint,1,S28,-0.0021929070353508004,-0.001389920711517334,0.001526560102190284,3,8,True
mint,1,S29,-0.001487337052822113,-0.0010309060414632164,0.0014417256627763963,3,8,True
mint,1,S3,-0.0015296220779418945,-0.001098915934562683,-0.0006221930185953781,3,8,True
mint,1,S30,-0.00019698962569236772,-0.00011104345321655275,0.00013787831578935842,3,8,True
mint,1,S31,-0.0004979670047760011,0.00022347768147786448,0.0007444918155670162,3,8,True
mint,1,S32,-0.0005036965012550356,-6.477038065592452e-05,0.00037364661693572895,3,8,True
mint,1,S4,-0.002651470048086984,-0.0007368803024291997,0.0028423156057085295,3,8,True
mint,1,S5,-0.0008346959948539735,-0.00046503941218058273,0.0003236702510288769,3,8,True
mint,1,S6,-4.26811831338065e-06,-3.6716461181640626e-06,-2.3990869522094735e-06,3,8,True
mint,1,S7,-0.0016800761222839355,-0.0008566379547119144,0.0005155801773071285,3,8,True
mint,1,S8,-0.0007352381944656372,-0.0005715131759643556,0.00046491622924804503,3,8,True
mint,1,S9,-0.0007229532514299666,-0.00012617111206054702,0.001115798950195312,3,8,True
mint,2,S1,-0.001585790089198521,0.00022720336914062544,0.020020723342895508,4,12,True
mint,2,S10,-5.917549133300781e-05,1.1744499206542958e-05,0.00012254714965820296,4,12,True
mint,2,S11,-0.0010322928428649902,0.0003977417945861816,0.0007480382919311521,4,12,True
mint,2,S12,-0.00037912527720133465,-0.00019632339477539072,0.0014302134513854954,4,12,True
mint,2,S13,-0.000334930419921875,-0.00017935752868652349,0.0008477483476911262,4,12,True
mint,2,S14,-0.00025724172592163087,-7.275342941284186e-05,0.0007199815341404497,4,12,True
mint,2,S15,-0.0015952666600545246,-9.245872497558566e-05,0.0001502704620361328,4,12,True
mint,2,S16,-0.0001282930374145508,-7.494449615478516e-05,0.0004222989082336418,4,12,True
