session,cell_id,paper_x_cm,paper_y_cm,channel,visit_count,temporal_span_s,visit_scaled_mad_kohm,normalized_dispersion
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S15,3,199.382,0.00016047964096069334,0.23426212590299275
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S16,3,199.382,0.00030531781911849974,0.6864693026028214
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S17,3,199.382,0.0003103549003601074,0.07386841662460036
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S18,3,199.382,8.315602540969848e-05,0.038926118970795065
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S19,3,199.382,0.0002467286109924316,0.45650752125572264
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S20,3,199.382,0.00032926604747772215,0.1291418272563427
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S21,3,199.382,0.0001642795443534851,0.17605833885784636
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S22,3,199.382,7.22865343093872e-05,0.07471684325904275
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S23,3,199.382,0.0003707998752593994,0.5523959978936283
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S24,3,199.382,0.001280832552909851,0.5415078831353208
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S25,3,199.382,0.00025415167808532713,0.13713522792294489
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S26,3,199.382,0.0004413190126419067,0.05907542348821804
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S27,3,199.382,5.903105735778808e-05,0.09542857142857143
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S28,3,199.382,0.007383830881118774,1.2673441528894283
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S29,3,199.382,0.0005185542583465575,0.10179017485428808
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S30,3,199.382,0.0007429252982139587,1.0163201160541586
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S31,3,199.382,0.00035206546783447264,0.45962159667743424
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S32,3,199.382,0.0003486190438270569,0.2735214587811135
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S1,3,306.871,0.0103792151927948,0.46773872388553045
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S2,3,306.871,0.0083163094997406,0.410385668684261
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S3,3,306.871,0.00043725399971008297,0.881054131054131
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S4,3,306.871,0.0005494837045669556,0.05664055383494262
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S5,3,306.871,0.00024089620113372802,0.10720465628441089
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S6,3,306.871,3.680604100227356e-05,0.6935886761032473
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S7,3,306.871,0.00014740090370178222,0.20511559272011806
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S8,3,306.871,0.0014831995010375976,0.5647755569015411
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S9,3,306.871,0.0015883596181869505,0.48418727439254344
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S10,3,306.871,8.253743648529052e-05,0.46981891348088534
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S11,3,306.871,0.0005238564491271972,0.7870419543281996
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S12,3,306.871,1.6171681880950926e-05,0.010441033833514007
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S13,3,306.871,2.3152899742126464e-05,0.015031554790590936
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S14,3,306.871,0.00015332168340682982,0.1186000410144234
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S15,3,306.871,3.994317054748535e-05,0.05830753353973168
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S16,3,306.871,0.00010427641868591308,0.2344526127558116
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S17,3,306.871,0.0025036944866180418,0.5959111559818273
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S18,3,306.871,0.00027376978397369384,0.12815421527260693
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S19,3,306.871,0.0011417384147644042,2.112491824722041
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S20,3,306.871,0.000829085898399353,0.32517676417579366
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S21,3,306.871,0.00032007558345794674,0.34302490766171034
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S22,3,306.871,0.00032449407577514645,0.3354037267080745
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S23,3,306.871,0.0004740158557891845,0.7061611374407583
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S24,3,306.871,0.0001299036741256714,0.05492042143017261
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S25,3,306.871,0.0006389139890670775,0.34474537478542816
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S26,3,306.871,0.0029294604063034055,0.39214062647866
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S27,3,306.871,0.0003294427871704101,0.5325714285714286
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S28,3,306.871,0.0029165584087371826,0.5005915364780829
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S29,3,306.871,0.0015720995664596556,0.3085970024979184
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S30,3,306.871,0.0005087452054023743,0.6959622823984526
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S31,3,306.871,0.00037928338050842285,0.4951545916012921
caret-mint-left-lavender-right-run01,1797,11.147481918334961,3.536104679107666,S32,3,306.871,1.5111243724822998e-05,0.01185606323233724
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S1,3,184.90400000000002,0.028461099672317504,1.282597787388593
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S2,3,184.90400000000002,0.026670373106002804,1.3161052870275078
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S3,3,184.90400000000002,6.857500076293945e-05,0.13817663817663817
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S4,3,184.90400000000002,0.007845121479034423,0.8086718892330115
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S5,3,184.90400000000002,0.0017392953157424926,0.7740286298568507
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S6,3,184.90400000000002,8.969539403915406e-06,0.16902581182348045
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S7,3,184.90400000000002,0.000814063024520874,1.132808657156911
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S8,3,184.90400000000002,0.0015583138704299926,0.5933777508580659
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S9,3,184.90400000000002,0.0033340175628662106,1.0163245514789072
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S10,3,184.90400000000002,2.3152899742126464e-05,0.1317907444668008
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S11,3,184.90400000000002,0.00020006933212280271,0.3005841741901221
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S12,3,184.90400000000002,0.0012161458253860473,0.78518856621213
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S13,3,184.90400000000002,0.0014747159957885741,0.9574297188755021
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S14,3,184.90400000000002,0.0011137251734733582,0.8615079636338779
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S15,3,184.90400000000002,0.0001367965221405029,0.19969040247678016
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S16,3,184.90400000000002,0.0003378379225730896,0.7595867275978542
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S17,3,184.90400000000002,0.004598943543434143,1.0946071007908462
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S18,3,184.90400000000002,0.0024795695185661315,1.1607098535616778
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S19,3,184.90400000000002,0.0009158650875091552,1.6945716154349246
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S20,3,184.90400000000002,0.0032237319946289062,1.2643837515596839
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S21,3,184.90400000000002,0.0012709351301193237,1.362060801212236
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S22,3,184.90400000000002,0.0012566192150115967,1.298867373036171
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S23,3,184.90400000000002,0.0012414196014404297,1.8493944181147974
