session,channel,q01_kohm,q25_kohm,median_kohm,q75_kohm,q99_kohm
mint-only-horizontal-run01,S18,0.9760872262716294,0.9780627638101578,0.9793454110622406,0.9807531833648682,0.9852217364311219
mint-only-horizontal-run01,S19,2.204344756603241,2.2052887678146362,2.2073605060577393,2.2076371908187866,2.2080238032341004
mint-only-horizontal-run01,S20,1.0031867837905883,1.0048916339874268,1.0062952041625977,1.0080644488334656,1.0137140047550202
mint-only-horizontal-run01,S21,0.7656028175354004,0.7662983536720276,0.766843169927597,0.767495334148407,0.7695111429691315
mint-only-horizontal-run01,S22,0.8103359937667847,0.8107217997312546,0.811224639415741,0.8118815422058105,0.814060166478157
mint-only-horizontal-run01,S23,2.2043449449539185,2.2055148482322693,2.2074209451675415,2.207794666290283,2.2081007957458496
mint-only-horizontal-run01,S24,1.1746592831611633,1.1755702495574951,1.1763986945152283,1.177917093038559,1.1830615150928496
mint-only-horizontal-run01,S25,1.816787428855896,1.8179808259010315,1.818749487400055,1.8197034299373627,1.823243601322174
mint-only-horizontal-run01,S26,1.3631997752189635,1.3661631345748901,1.3697203397750854,1.3742766976356506,1.3906410813331604
mint-only-horizontal-run01,S27,2.2043701577186585,2.2053146362304688,2.207337498664856,2.207645356655121,2.207953734397888
mint-only-horizontal-run01,S28,1.1424999141693115,1.1480472087860107,1.1512218713760376,1.1538831293582916,1.1628931164741516
mint-only-horizontal-run01,S29,1.0600227534770965,1.0643885433673859,1.0673595666885376,1.0708507001399994,1.0810153245925904
mint-only-horizontal-run01,S30,0.8076576089859009,0.8083087801933289,0.8086076974868774,0.808865562081337,0.8096360021829605
mint-only-horizontal-run01,S31,2.204398126602173,2.2054006457328796,2.207400679588318,2.2077929377555847,2.2081153535842897
mint-only-horizontal-run01,S32,0.7100515860319138,0.7111419588327408,0.7118577361106873,0.7125125527381897,0.7146932452917099
caret-mint-left-lavender-right-run01,S1,2.922946753501892,2.938618779182434,2.955153703689575,2.9728825092315674,3.004448890686035
caret-mint-left-lavender-right-run01,S2,3.0429344177246094,3.0583895444869995,3.0740556716918945,3.0903795957565308,3.1185157108306885
caret-mint-left-lavender-right-run01,S3,2.204226922988892,2.2052111625671387,2.207209587097168,2.2074692249298096,2.207805328369141
caret-mint-left-lavender-right-run01,S4,1.345629904270172,1.358842372894287,1.3670769929885864,1.3746506571769714,1.3882972383499146
caret-mint-left-lavender-right-run01,S5,1.1007845759391786,1.1055662631988525,1.1078871488571167,1.1091740727424622,1.1118815231323242
caret-mint-left-lavender-right-run01,S6,0.48190966188907625,0.48202377557754517,0.48206210136413574,0.4821031242609024,0.4821543562412262
caret-mint-left-lavender-right-run01,S7,2.2044842863082885,2.205550789833069,2.2075002193450928,2.2078415155410767,2.20823353767395
caret-mint-left-lavender-right-run01,S8,1.19048757314682,1.196084439754486,1.1992435455322266,1.200635015964508,1.203671944141388
caret-mint-left-lavender-right-run01,S9,1.0460607624053955,1.0495365858078003,1.052207589149475,1.054688274860382,1.0584351778030396
caret-mint-left-lavender-right-run01,S10,1.5003131914138794,1.5007288455963135,1.5008763074874878,1.5009970664978027,1.5012467312812805
