source,leg,sample_offset,channel,q25,median,q75,session_count,encounter_count
lavender,entry,-6,S27,-0.0025834603743119674,7.566538724032316e-05,0.00038279186595569956,4,20
lavender,entry,-6,S28,-0.006111908268618894,-0.004512700769636369,-0.0017136931419372674,4,20
lavender,entry,-6,S29,-0.006449017769251114,-0.0043366670608520515,-0.0023325085639953613,4,20
lavender,entry,-6,S3,-0.0020040165294300423,5.245208740234294e-06,0.00025150270173043913,4,20
lavender,entry,-6,S30,-0.0007097197301460035,-0.00027931317106469854,-7.967863764081664e-05,4,20
lavender,entry,-6,S31,-0.00034397298639470995,0.000244458516438802,0.0005868131464177908,4,20
lavender,entry,-6,S32,-0.0016927471408596287,-0.0011590255631340877,-0.0006163716316223146,4,20
lavender,entry,-6,S4,-0.009375177896939792,-0.00760198250795022,-0.002021857102711995,4,20
lavender,entry,-6,S5,-0.002186829393560236,-0.001579306342385032,-0.0005624294281005859,4,20
lavender,entry,-6,S6,-7.915124297142029e-05,-5.03384149991549e-05,1.4760277488014914e-05,4,20
lavender,entry,-6,S7,-0.0015318145999660736,-3.351587237733774e-05,0.0006914861274488046,4,20
lavender,entry,-6,S8,-0.0022389797063974235,-0.001449817960912531,-0.0006701946258544922,4,20
lavender,entry,-6,S9,-0.0026952395072350134,-0.0022439552204949515,-0.0005425731341044128,4,20
lavender,entry,-5,S1,-0.018253601514376126,-0.013656556606292725,-0.006851425418606052,4,20
lavender,entry,-5,S10,-0.00017720002394456136,-0.00013159838589754972,-2.0503997802734483e-05,4,20
lavender,entry,-5,S11,-0.0020004402507435197,0.00028394785794344794,0.0005079105302884981,4,20
lavender,entry,-5,S12,-0.0021009124242342436,-0.0012831409772237144,-0.0009692907333374023,4,20
lavender,entry,-5,S13,-0.002044534071897849,-0.0011145962609185114,-0.0008988380432128907,4,20
lavender,entry,-5,S14,-0.0015574204616057568,-0.0010186188987323219,-0.0006017525990804043,4,20
lavender,entry,-5,S15,-0.0023766756057739258,0.0002755613038034149,0.0005235780369151722,4,20
lavender,entry,-5,S16,-0.0005814020450298602,-0.00035769918135234287,-0.00018429358800252274,4,20
lavender,entry,-5,S17,-0.0049370527267456055,-0.0038118535822088072,-0.0012244423230489093,4,20
lavender,entry,-5,S18,-0.0029764048980944085,-0.0016500678929415621,-0.001043766736984253,4,20
lavender,entry,-5,S19,-0.0022961443120783024,-0.0012975358343743665,0.00032189109108664765,4,20
lavender,entry,-5,S2,-0.017480941919180065,-0.01328423193522862,-0.007097900687874137,4,20
lavender,entry,-5,S20,-0.00313116342593462,-0.0021116988999503,-0.001527249813079834,4,20
lavender,entry,-5,S21,-0.0012527108192443848,-0.0007193418485777719,-0.0005745291709899903,4,20
lavender,entry,-5,S22,-0.0010105631290337979,-0.0008049788219588145,-0.0005052983760833743,4,20
lavender,entry,-5,S23,-0.002698139710859819,-0.0001377011790420071,0.0005770184776999732,4,20
lavender,entry,-5,S24,-0.0022917496852385695,-0.0017341039119622647,-0.0010396048620149687,4,20
lavender,entry,-5,S25,-0.002055337934783011,-0.0013977885246276847,-0.0009735226631164541,4,20
lavender,entry,-5,S26,-0.007624387741088867,-0.006679651992661613,-0.004785478115081787,4,20
lavender,entry,-5,S27,-0.002599795659383138,0.00018946845810134685,0.00047090456083223413,4,20
lavender,entry,-5,S28,-0.006785177758761815,-0.004974650012122262,-0.0021948218345642138,4,20
lavender,entry,-5,S29,-0.006892075905433068,-0.004228073900396177,-0.002967894077301026,4,20
lavender,entry,-5,S3,-0.002174709782455907,0.00024988434531471944,0.000354022690744111,4,20
lavender,entry,-5,S30,-0.0007991248911077325,-0.00027343564563327366,-0.00013944506645202637,4,20
lavender,entry,-5,S31,-0.001742536371404475,0.00017264876702819168,0.0004742633212696421,4,20
lavender,entry,-5,S32,-0.0017788572744889693,-0.0013850794898139103,-0.000705582754952567,4,20
