session,channel,raw_vmin_kohm,raw_vmax_kohm,robust_vmin,robust_vmax
mint-only-horizontal-run01,S1,2.9245128591572747,3.0109594811632214,-3.0,3.0
caret-mint-left-lavender-right-run01,S1,2.9245128591572747,3.0109594811632214,-3.0,3.0
caret-lavender-left-mint-right-run01,S1,2.9245128591572747,3.0109594811632214,-3.0,3.0
lavender-only-horizontal-run01,S1,2.9245128591572747,3.0109594811632214,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S1,2.9245128591572747,3.0109594811632214,-3.0,3.0
mint-only-horizontal-run01,S2,3.043824672108626,3.1237142441446313,-3.0,3.0
caret-mint-left-lavender-right-run01,S2,3.043824672108626,3.1237142441446313,-3.0,3.0
caret-lavender-left-mint-right-run01,S2,3.043824672108626,3.1237142441446313,-3.0,3.0
lavender-only-horizontal-run01,S2,3.043824672108626,3.1237142441446313,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S2,3.043824672108626,3.1237142441446313,-3.0,3.0
mint-only-horizontal-run01,S3,1.8811272263526917,2.207766251754024,-3.0,3.0
caret-mint-left-lavender-right-run01,S3,1.8811272263526917,2.207766251754024,-3.0,3.0
caret-lavender-left-mint-right-run01,S3,1.8811272263526917,2.207766251754024,-3.0,3.0
lavender-only-horizontal-run01,S3,1.8811272263526917,2.207766251754024,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S3,1.8811272263526917,2.207766251754024,-3.0,3.0
mint-only-horizontal-run01,S4,1.3460363296886027,1.3896875089934506,-3.0,3.0
caret-mint-left-lavender-right-run01,S4,1.3460363296886027,1.3896875089934506,-3.0,3.0
caret-lavender-left-mint-right-run01,S4,1.3460363296886027,1.3896875089934506,-3.0,3.0
lavender-only-horizontal-run01,S4,1.3460363296886027,1.3896875089934506,-3.0,3.0
